Level,State/UT,Year,District/Block,Rainfall (mm),Recharge (ham),Natural Discharge (ham),Extractable (ham),Extraction (ham),Stage (%),Status
District/Block,Andhra Pradesh,2023-2024,Alluri Sitharama Raju,1281.46,,,150312.39,2239.02,1.49,Safe
District/Block,Andhra Pradesh,2023-2024,Anakapalli,1182.64,,,77854.81,20967.06,26.93,Safe
District/Block,Andhra Pradesh,2023-2024,Ananthapuramu,522.73,,,115874.29,40926.43,35.32,Safe
District/Block,Andhra Pradesh,2023-2024,Annamayya,744.04,,,82241.76,35463.41,43.12,Safe
District/Block,Andhra Pradesh,2023-2024,Bapatla,917.32,,,66764.66,18256.09,27.34,Safe
District/Block,Andhra Pradesh,2023-2024,Chittoor,905.4,,,85903.88,50903.85,59.26,Safe
District/Block,Andhra Pradesh,2023-2024,East Godavari,1143.37,,,101925.38,34167.05,33.52,Safe
District/Block,Andhra Pradesh,2023-2024,Eluru,1003.48,,,173671.73,47703.76,27.47,Safe
District/Block,Andhra Pradesh,2023-2024,Guntur,876.79,,,51776.57,10607.13,20.49,Safe
District/Block,Andhra Pradesh,2023-2024,Kakinada,1153.76,,,107137.86,17096.02,15.96,Safe
District/Block,Andhra Pradesh,2023-2024,Konaseema,1282.98,,,106636.87,10586.63,9.93,Safe
District/Block,Andhra Pradesh,2023-2024,Krishna,1050.53,,,158407.25,46960.08,29.65,Safe
District/Block,Andhra Pradesh,2023-2024,Kurnool,610.15,,,64082.01,19597.28,30.58,Safe
District/Block,Andhra Pradesh,2023-2024,NTR,1033.28,,,61046.13,23895.84,39.14,Safe
District/Block,Andhra Pradesh,2023-2024,Nandyal,716.04,,,78109.31,12854.15,16.46,Safe
District/Block,Andhra Pradesh,2023-2024,Palnadu,765.71,,,96402.46,29236.42,30.33,Safe
District/Block,Andhra Pradesh,2023-2024,Parvathipuram Manyam,1168.07,,,86871.96,21795.33,25.09,Safe
District/Block,Andhra Pradesh,2023-2024,Prakasam,790.69,,,93419.1,46714.02,50.0,Safe
District/Block,Andhra Pradesh,2023-2024,Sri Potti Sriramulu Nellore,1040.05,,,187125.49,43888.77,23.45,Safe
District/Block,Andhra Pradesh,2023-2024,Sri Sathya Sai,589.84,,,113899.53,69091.82,60.66,Safe
District/Block,Andhra Pradesh,2023-2024,Srikakulam,1170.33,,,125582.86,44359.44,35.32,Safe
District/Block,Andhra Pradesh,2023-2024,Tirupati,1139.34,,,153458.94,53602.53,34.93,Safe
District/Block,Andhra Pradesh,2023-2024,Visakhapatnam,1278.93,,,11990.61,5382.2,44.89,Safe
District/Block,Andhra Pradesh,2023-2024,Vizianagaram,1109.88,,,135606.07,35808.31,26.41,Safe
District/Block,Andhra Pradesh,2023-2024,West Godavari,1215.11,,,53132.45,4436.21,8.35,Safe
District/Block,Andhra Pradesh,2023-2024,Y.S.R Kadapa,685.42,,,101882.95,41442.26,40.68,Safe
District/Block,Arunachal Pradesh,2023-2024,ANJAW,0.0,,,0.0,,,
District/Block,Arunachal Pradesh,2023-2024,CHANGLANG,2599.5,,,31152.13,244.97,0.79,Safe
District/Block,Arunachal Pradesh,2023-2024,DIBANG VALLEY,0.0,,,0.0,,,
District/Block,Arunachal Pradesh,2023-2024,EAST KAMENG,2136.1,,,16348.11,108.46,0.66,Safe
District/Block,Arunachal Pradesh,2023-2024,EAST SIANG,4418.8,,,78569.38,178.27,0.23,Safe
District/Block,Arunachal Pradesh,2023-2024,KURUNG KUMEY,0.0,,,0.0,,,
District/Block,Arunachal Pradesh,2023-2024,LOHIT,3003.5,,,110570.56,270.62,0.24,Safe
District/Block,Arunachal Pradesh,2023-2024,LOWER DIBANG VALLEY,3507.0,,,71289.41,247.91,0.35,Safe
District/Block,Arunachal Pradesh,2023-2024,LOWER SUBANSIRI,2136.9,,,5508.04,39.11,0.71,Safe
District/Block,Arunachal Pradesh,2023-2024,PAPUM PARE,3336.8,,,10099.43,145.71,1.44,Safe
District/Block,Arunachal Pradesh,2023-2024,TAWANG,0.0,,,0.0,,,
District/Block,Arunachal Pradesh,2023-2024,TIRAP,3459.4,,,9122.65,55.04,0.6,Safe
District/Block,Arunachal Pradesh,2023-2024,UPPER SIANG,0.0,,,0.0,,,
District/Block,Arunachal Pradesh,2023-2024,UPPER SUBANSIRI,1746.5,,,2476.39,21.16,0.85,Safe
District/Block,Arunachal Pradesh,2023-2024,WEST KAMENG,2521.4,,,3146.83,13.04,0.41,Safe
District/Block,Arunachal Pradesh,2023-2024,WEST SIANG,2912.9,,,7312.19,7.65,0.1,Safe
District/Block,Assam,2023-2024,BAKSA,3274.6,,,129294.81,4553.76,3.52,Safe
District/Block,Assam,2023-2024,BARPETA,2051.4,,,77212.13,28378.4,36.75,Safe
District/Block,Assam,2023-2024,BONGAIGAON,3102.4,,,45942.16,11836.27,25.76,Safe
District/Block,Assam,2023-2024,CACHAR,3311.9,,,44091.6,1445.78,3.28,Safe
District/Block,Assam,2023-2024,CHIRANG,3218.7,,,96509.64,2469.7,2.56,Safe
District/Block,Assam,2023-2024,DARRANG,1951.2,,,52246.11,17692.92,33.86,Safe
District/Block,Assam,2023-2024,DHEMAJI,2859.3,,,96856.15,4606.73,4.76,Safe
District/Block,Assam,2023-2024,DHUBRI,2752.8,,,98460.19,28293.72,28.74,Safe
District/Block,Assam,2023-2024,DIBRUGARH,2649.4,,,123459.91,8407.33,6.81,Safe
District/Block,Assam,2023-2024,DIMA HASAO,2791.8,,,56663.36,573.55,1.01,Safe
District/Block,Assam,2023-2024,GOALPARA,2583.2,,,58443.81,12472.77,21.34,Safe
District/Block,Assam,2023-2024,GOLAGHAT,1751.7,,,96995.62,5945.79,6.13,Safe
District/Block,Assam,2023-2024,HAILAKANDI,2838.3,,,20875.97,541.26,2.59,Safe
District/Block,Assam,2023-2024,JORHAT,2265.3,,,57513.74,7138.18,12.41,Safe
District/Block,Assam,2023-2024,KAMRUP,1896.2,,,67947.15,24062.15,35.41,Safe
District/Block,Assam,2023-2024,KAMRUP (M),1813.4,,,23368.47,5308.8,22.72,Safe
District/Block,Assam,2023-2024,KARBI ANGLONG,1122.2,,,107228.31,3038.47,2.83,Safe
District/Block,Assam,2023-2024,KARIMGANJ,3751.0,,,32120.74,1415.81,4.41,Safe
District/Block,Assam,2023-2024,KOKRAJHAR,3102.4,,,157868.49,8058.83,5.1,Safe
District/Block,Assam,2023-2024,LAKHIMPUR,3270.3,,,71550.94,6925.99,9.68,Safe
District/Block,Assam,2023-2024,MORIGAON,1884.8,,,37613.42,13157.78,34.98,Safe
District/Block,Assam,2023-2024,NAGAON,1884.8,,,100132.97,29040.85,29.0,Safe
District/Block,Assam,2023-2024,NALBARI,1896.2,,,29614.32,7914.57,26.73,Safe
District/Block,Assam,2023-2024,SIBSAGAR,2412.4,,,94436.53,4553.11,4.82,Safe
District/Block,Assam,2023-2024,SONITPUR,1978.7,,,134894.37,13057.93,9.68,Safe
District/Block,Assam,2023-2024,TINSUKIA,2322.6,,,128496.94,6469.76,5.03,Safe
District/Block,Assam,2023-2024,UDALGURI,1957.8,,,49292.98,6160.97,12.5,Safe
District/Block,Bihar,2023-2024,ARARIA,1632.2,,,145303.68,31953.95,21.99,Safe
District/Block,Bihar,2023-2024,ARWAL,874.4,,,19119.92,9212.33,48.18,Safe
District/Block,Bihar,2023-2024,AURANGABAD,974.9,,,119726.23,35873.86,29.96,Safe
District/Block,Bihar,2023-2024,BANKA,974.9,,,63632.68,24414.83,38.37,Safe
District/Block,Bihar,2023-2024,BEGUSARAI,1090.7,,,50675.69,34226.51,67.54,Safe
District/Block,Bihar,2023-2024,BHAGALPUR,1207.9,,,71315.39,28322.76,39.71,Safe
District/Block,Bihar,2023-2024,BHOJPUR,1051.5,,,78971.26,40295.52,51.03,Safe
District/Block,Bihar,2023-2024,BUXAR,975.4,,,56138.3,25511.78,45.44,Safe
District/Block,Bihar,2023-2024,DARBHANGA,1123.6,,,69980.65,39943.13,57.08,Safe
District/Block,Bihar,2023-2024,EAST CHAMPARAN,1197.7,,,175758.62,76127.86,43.31,Safe
District/Block,Bihar,2023-2024,GAYA,1003.9,,,119480.56,65416.39,54.75,Safe
District/Block,Bihar,2023-2024,GOPALGANJ,1135.5,,,95892.6,54002.26,56.32,Safe
District/Block,Bihar,2023-2024,JAMUI,1107.3,,,45487.64,18243.03,40.11,Safe
District/Block,Bihar,2023-2024,JEHANABAD,936.6,,,29704.79,23980.4,80.73,Semi-Critical
District/Block,Bihar,2023-2024,KAIMUR,1126.3,,,74894.61,32587.58,43.51,Safe
District/Block,Bihar,2023-2024,KATIHAR,1342.7,,,111235.59,47255.67,42.48,Safe
District/Block,Bihar,2023-2024,KHAGARIA,1233.9,,,44454.07,28316.72,63.7,Safe
District/Block,Bihar,2023-2024,KISHANGANJ,2090.6,,,59241.4,20401.43,34.44,Safe
District/Block,Bihar,2023-2024,LAKHISARAI,1146.8,,,37503.18,10800.4,28.8,Safe
District/Block,Bihar,2023-2024,MADHEPURA,1392.7,,,98390.31,38715.46,39.35,Safe
District/Block,Bihar,2023-2024,MADHUBANI,1293.3,,,130565.01,60390.33,46.25,Safe
District/Block,Bihar,2023-2024,MUNGER,1146.8,,,37580.04,13495.25,35.91,Safe
District/Block,Bihar,2023-2024,MUZAFFARPUR,1154.5,,,111999.92,74285.42,66.33,Safe
District/Block,Bihar,2023-2024,NALANDA,1002.2,,,58002.8,45568.79,78.56,Semi-Critical
District/Block,Bihar,2023-2024,NAWADA,1041.8,,,62569.64,31232.31,49.92,Safe
District/Block,Bihar,2023-2024,PATNA,1074.8,,,98219.1,60449.74,61.55,Safe
District/Block,Bihar,2023-2024,PURNEA,1598.2,,,151485.74,53555.65,35.35,Safe
District/Block,Bihar,2023-2024,ROHTAS,949.1,,,106504.5,33774.97,31.71,Safe
District/Block,Bihar,2023-2024,SAHARSA,1692.9,,,63652.19,23842.55,37.46,Safe
District/Block,Bihar,2023-2024,SAMASTIPUR,1192.3,,,80434.25,55184.41,68.61,Safe
District/Block,Bihar,2023-2024,SARAN,1123.8,,,100266.08,42217.61,42.11,Safe
District/Block,Bihar,2023-2024,SHEIKHPURA,1008.4,,,16331.26,9517.94,58.28,Safe
District/Block,Bihar,2023-2024,SHEOHAR,1293.1,,,16711.28,9663.55,57.83,Safe
District/Block,Bihar,2023-2024,SITAMARHI,1293.1,,,61797.85,29208.59,47.26,Safe
District/Block,Bihar,2023-2024,SIWAN,1135.4,,,97746.85,55108.95,56.38,Safe
District/Block,Bihar,2023-2024,SUPAUL,1273.8,,,97479.47,31908.53,32.73,Safe
District/Block,Bihar,2023-2024,VAISHALI,1176.5,,,73084.5,47347.44,64.78,Safe
District/Block,Bihar,2023-2024,WEST CHAMPARAN,1472.0,,,164113.33,47217.75,28.77,Safe
District/Block,Chandigarh,2023-2024,CHANDIGARH,1078.0,,,4962.51,3281.7,66.13,Safe
District/Block,Chhattisgarh,2023-2024,BALOD,1122.9,,,35865.84,26531.77,73.98,Semi-Critical
District/Block,Chhattisgarh,2023-2024,BALODA BAZAR,1396.68,,,61880.47,26621.5,43.02,Safe
District/Block,Chhattisgarh,2023-2024,BALRAMPUR,1317.0,,,47173.5,12157.27,25.77,Safe
District/Block,Chhattisgarh,2023-2024,BASTAR,1368.99,,,24632.34,8433.11,34.24,Safe
District/Block,Chhattisgarh,2023-2024,BEMETARA,1122.9,,,42612.31,39546.94,92.81,Critical
District/Block,Chhattisgarh,2023-2024,BIJAPUR,1528.1,,,46992.09,4926.33,10.48,Safe
